feature,mape_increase,mape_increase_std,baseline_mape
units_sold,0.0,0.0,19.980724334716797
lag_1,0.0,0.0,19.980724334716797
lag_7,0.0,0.0,19.980724334716797
lag_14,0.0,0.0,19.980724334716797
lag_30,0.0,0.0,19.980724334716797
rolling_mean_7,0.0,0.0,19.980724334716797
rolling_mean_30,0.0,0.0,19.980724334716797
rolling_std_7,0.0,0.0,19.980724334716797
rolling_std_30,0.0,0.0,19.980724334716797
seasonality_index,0.0,0.0,19.980724334716797
month_sin,0.0,0.0,19.980724334716797
month_cos,0.0,0.0,19.980724334716797
dow_sin,0.0,0.0,19.980724334716797
dow_cos,0.0,0.0,19.980724334716797
is_weekend,0.0,0.0,19.980724334716797
is_holiday,0.0,0.0,19.980724334716797
days_to_holiday,0.0,0.0,19.980724334716797
trend_strength,0.0,0.0,19.980724334716797
acceleration,0.0,0.0,19.980724334716797
