feature,mean_abs_shap
units_sold,0.06204388448627638
rolling_mean_7,0.027245128306138382
anchor,0.016050819753530003
lag_1,0.015793191360084172
rolling_mean_30,0.011680995970018187
category,0.004386645834622386
month_cos,0.0035511941084004728
days_to_holiday,0.003296760771762532
rolling_std_7,0.0017853854588823401
acceleration,0.0013864129507993525
month_sin,0.001309651009486285
rolling_std_30,0.0011933036908054226
lag_30,0.0011864971713961576
seasonality_index,0.0011806575084269424
trend_strength,0.0008278720724864522
dow_cos,0.0005954616717093804
dow_sin,0.00034868111840486826
lag_14,0.00029451984929534556
lag_7,0.00020241778503630187
is_weekend,4.628550063049454e-05
is_holiday,1.2075869143983135e-05
