feature,mean_abs_shap
units_sold,0.02731504019493517
lag_1,0.012147307126757509
rolling_mean_7,0.011762103924897255
rolling_mean_30,0.009225771927016799
anchor,0.00710297554651266
category,0.005326696664730268
month_cos,0.003260177649233572
days_to_holiday,0.002197775864873175
rolling_std_30,0.0014338745298634883
month_sin,0.0012108320971527145
rolling_std_7,0.0009576879303531191
lag_30,0.0009184555583249528
acceleration,0.0008231766938630751
trend_strength,0.0006653870333563469
dow_cos,0.0005985528046196203
seasonality_index,0.0005945807458569559
dow_sin,0.000340155565046189
lag_7,0.0001957519834171704
lag_14,0.00015044621021986958
is_weekend,4.182430339396569e-05
is_holiday,1.3726461981687484e-05
